"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64646","The broad search proceeds with duration only for Ski holidays @inw","Chromium","Tue Aug 19 01:38:20 UTC 2025","passed","Tue Aug 19 01:39:25 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","0","Delete all Automation pages","page cleanup","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","","setup/page-cleanup.teardown.ts","",""
"","0","The search results are to be grouped by using a toggle to group by Accommodation or Resorts for Walking holidays @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","0","An ECMS user creates a RTE component and views it on the General Content page undefined @inw @component","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Rich Text Editor","tests/e2e_tests/inw_tests/components/richTextEditor.spec.ts","",""
"","0","The search bar should display the updated number of nights, number of guests, departure location, and date on the Resort Details page for Walking holidays when the details have been updated. @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","75357","An ECMS user creates a Pill component and views it on the General Content page undefined @inw @component","Chromium","Tue Aug 19 01:48:41 UTC 2025","passed","Tue Aug 19 01:49:56 UTC 2025","Pills","tests/e2e_tests/inw_tests/components/pills.spec.ts","",""
"","34045","The broad search proceeds with default values and location for Lapland holidays @inw","Chromium","Tue Aug 19 01:48:23 UTC 2025","passed","Tue Aug 19 01:48:57 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","38405","The broad search proceeds with default values and location for Ski holidays @inw","Chromium","Tue Aug 19 01:47:02 UTC 2025","failed","Tue Aug 19 01:47:41 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","67456","An ECMS user creates a Grey Box component and views it on the General Content page @inw @component undefined","Chromium","Tue Aug 19 01:42:19 UTC 2025","passed","Tue Aug 19 01:43:26 UTC 2025","Grey Box","tests/e2e_tests/inw_tests/components/greyBox.spec.ts","",""
"","0","The search results are to be grouped by using a toggle to group by Accommodation or Resorts for Lapland holidays @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
